,LGD_estimated,forced_or_missing,Col_rate,exposure
0,0.09849264791006718,0,0.9480043237611675,355705
1,0.3360415938883188,0,0.43319702553632256,450915
2,0.5168709828915558,1,0.7097090596665959,486612
3,0.2863121211628742,0,0.3272603339975203,372866
4,0.8838094944531766,0,0.08276578551236968,103873
5,0.9745606900301795,0,0.4666558627674934,211691
6,0.2153045441660686,0,0.3636824534724761,87705
7,0.6056067501918008,0,0.9796357250976668,56333
8,0.472415385961898,0,0.5393556945321432,81689
9,0.8936386510530233,1,0.7429765690060909,476350
10,0.008252259490373115,0,0.9087797514377318,346250
11,0.6160163743874452,0,0.7961711498201355,139004
12,0.5429888393528033,0,0.24918527270330615,307513
13,0.34845136596482407,0,0.7614343557721786,93837
14,0.38685658648746646,0,0.6504253309218613,286809
15,0.2510992343559355,0,0.22404063229361804,389211
16,0.44115922341002056,0,0.32883885835940396,369079
17,0.6680405348901849,0,0.38677286790476495,277196
18,0.28802282779189525,0,0.9571921394630536,486467
19,0.6496393539471412,0,0.09703505665759227,261768
20,0.43845925863734425,0,0.6353772270572661,178071
21,0.8311579934230182,0,0.7330165564241963,113790
22,0.7437382701922423,1,0.47578330905146826,122078
23,0.9473092566295896,0,0.6533083246888439,239719
24,0.6461171150784863,0,0.10214764237267981,415913
25,0.4534466898124645,0,0.512798229006364,431289
26,0.23939197054453676,0,0.17085791125974126,120989
27,0.07769465768279715,0,0.1758350663393463,480464
28,0.9961895126714123,1,0.9428133642055746,426446
29,0.981604567593203,0,0.712746000326268,115354
30,0.5898486136287856,0,0.8464781073429823,284306
31,0.5014488819492983,0,0.29516439216987034,360791
32,0.912912075708972,0,0.7123960047930586,450681
33,0.39429817316630555,0,0.20449490527142244,102735
34,0.05434558019405711,0,0.17514607501813584,207669
35,0.7817868324669576,0,0.9126151275992948,208085
36,0.12481444966284427,0,0.9672746426511128,214733
37,0.048856137445752235,1,0.35160853053785,124475
38,0.2458400331569316,0,0.1897201150516723,228186
39,0.9502639526877538,0,0.01738937808215002,373072
40,0.05449919289589089,0,0.6422414906473819,296021
41,0.7137138957593808,0,0.2953064714668341,338905
42,0.5931765480799062,0,0.3036737216421983,232907
43,0.6588300040757211,0,0.24169018665209252,402852
44,0.36940511344781723,0,0.8525837790105644,470877
45,0.0920547304824717,0,0.7602505641758681,328751
46,0.4197739131089364,0,0.7836260561329825,312704
47,0.03531240769205246,0,0.7021658576787814,457402
48,0.8656096084486465,0,0.9353271817381419,104270
49,0.892574030507977,0,0.5991090483962377,481093
50,0.26961562122358795,0,0.8822410682454329,249194
51,0.9442355158579053,0,0.15553547638593823,83724
52,0.8214371201391221,0,0.03764736174748051,409757
53,0.09829489295436455,0,0.3921993348240571,79190
54,0.5277246163387895,0,0.2806615092439886,376448
55,0.09736859629595795,0,0.06814164499872566,177901
56,0.49151504478324104,0,0.3283302937202739,155107
57,0.2962988402346992,0,0.7783189694008151,259323
58,0.00608776427524127,0,0.4442136302080848,154403
59,0.17733853746023942,0,0.07341868923024397,169273
60,0.25275572228271037,1,0.4167818715581809,87457
61,0.8461884266373082,0,0.8349203785597246,278658
62,0.6489924522807752,0,0.9453804266512004,115292
63,0.5014523134853307,0,0.9200881726424972,466186
64,0.7362685287762673,0,0.0634896556093365,242846
65,0.12054513971818515,1,0.6921972071579844,454096
66,0.029812161239001655,0,0.5288357910205138,237702
67,0.07129794654405386,0,0.08296484102979762,113618
68,0.256297066800253,1,0.03283262124530073,396718
69,0.1843042007250144,0,0.40040481663014216,97576
70,0.9070337483273584,0,0.2377985239412207,100759
71,0.7342050361380283,0,0.2770590448996546,337580
72,0.8450914452584685,0,0.3257688674171978,449148
73,0.10418545559432557,0,0.327727074231018,246302
74,0.07786571631215411,0,0.41115347520137047,307784
75,0.543780294182204,0,0.12175205044040738,329247
76,0.48616512013220736,0,0.5968378205983615,76749
77,0.20623752698203068,0,0.11834836843202079,492522
78,0.9903365523490208,0,0.12573957022387516,391706
79,0.38411522842060164,0,0.5055509408167878,159335
80,0.17532279979898335,0,0.10058329680776323,416918
81,0.6951833076492742,1,0.6352304502486534,157784
82,0.5006021502259415,0,0.4865546357172823,62445
83,0.6294923536300364,1,0.28297743085763793,332560
84,0.7179615772505813,0,0.9997417440135011,231794
85,0.9350972719854701,0,0.07972621620141873,415700
86,0.05010015531494816,0,0.3131326635782943,107052
87,0.6710534767765829,0,0.3149360815153298,101126
